protein1 protein2 experimental database textmining combined_score
362663.ECP_0014 362663.ECP_1183 249 54 0 259
362663.ECP_0014 362663.ECP_0701 0 0 278 278
362663.ECP_0014 362663.ECP_2806 270 0 276 448
362663.ECP_0014 362663.ECP_3426 0 0 271 271
362663.ECP_0014 362663.ECP_3319 103 0 145 200
362663.ECP_0014 362663.ECP_2578 220 0 93 262
362663.ECP_0014 362663.ECP_1939 97 180 76 256
362663.ECP_0014 362663.ECP_0510 97 180 76 256
362663.ECP_0014 362663.ECP_2614 993 568 950 999
362663.ECP_0014 362663.ECP_4247 98 105 0 158
362663.ECP_0014 362663.ECP_1418 140 494 0 546
362663.ECP_0014 362663.ECP_0058 195 592 610 860
362663.ECP_0014 362663.ECP_0922 332 0 0 332
362663.ECP_0014 362663.ECP_1114 149 207 80 324
362663.ECP_0014 362663.ECP_2122 150 512 44 568
362663.ECP_0014 362663.ECP_0185 98 105 0 158
362663.ECP_0014 362663.ECP_3172 107 0 138 197
362663.ECP_0014 362663.ECP_0100 0 0 349 349
362663.ECP_0014 362663.ECP_3454 272 559 145 701
362663.ECP_0014 362663.ECP_1329 105 0 101 160
362663.ECP_0014 362663.ECP_1455 152 0 54 163
362663.ECP_0014 362663.ECP_3204 59 193 0 208
362663.ECP_0014 362663.ECP_4193 0 0 478 478
362663.ECP_0014 362663.ECP_1940 97 180 76 256
362663.ECP_0014 362663.ECP_0497 0 0 786 786
362663.ECP_0014 362663.ECP_3249 59 193 0 208
362663.ECP_0014 362663.ECP_3075 152 0 93 197
362663.ECP_0014 362663.ECP_0442 376 0 138 439
362663.ECP_0014 362663.ECP_3900 152 498 0 556
362663.ECP_0014 362663.ECP_3318 153 0 0 152
362663.ECP_0014 362663.ECP_4291 125 0 211 280
362663.ECP_0014 362663.ECP_1678 0 0 364 364
362663.ECP_0014 362663.ECP_1388 117 0 79 151
362663.ECP_0014 362663.ECP_0032 141 0 78 174
362663.ECP_0014 362663.ECP_3295 186 0 79 218
362663.ECP_0014 362663.ECP_4268 0 0 577 577
362663.ECP_0014 362663.ECP_3616 59 483 0 492
362663.ECP_0014 362663.ECP_2531 0 0 548 548
362663.ECP_0014 362663.ECP_3405 100 0 168 219
362663.ECP_0014 362663.ECP_1416 150 193 78 312
362663.ECP_0014 362663.ECP_0908 199 0 0 199
362663.ECP_0014 362663.ECP_4492 104 0 137 193
362663.ECP_0014 362663.ECP_2165 125 0 80 160
362663.ECP_0014 362663.ECP_3710 0 0 530 530
362663.ECP_0014 362663.ECP_4016 55 498 0 505
362663.ECP_0014 362663.ECP_2778 59 193 0 208
362663.ECP_0014 362663.ECP_0051 136 509 79 575
362663.ECP_0014 362663.ECP_1592 139 0 270 344
362663.ECP_0014 362663.ECP_2038 137 198 56 289
362663.ECP_0014 362663.ECP_3074 152 0 93 197
362663.ECP_0014 362663.ECP_1766 59 462 0 472
362663.ECP_0014 362663.ECP_2274 332 0 0 332
362663.ECP_0014 362663.ECP_3265 209 0 0 209
362663.ECP_0014 362663.ECP_3380 125 0 80 160
362663.ECP_0014 362663.ECP_0654 59 462 0 472
362663.ECP_0014 362663.ECP_1421 151 99 239 367
362663.ECP_0014 362663.ECP_1599 97 0 259 302
362663.ECP_0014 362663.ECP_1708 321 903 142 938
362663.ECP_0014 362663.ECP_1251 184 0 85 221
362663.ECP_0014 362663.ECP_2536 0 0 211 211
362663.ECP_0014 362663.ECP_0305 97 180 76 256
362663.ECP_0014 362663.ECP_0896 199 0 0 199
362663.ECP_0014 362663.ECP_3438 0 0 280 280
362663.ECP_0014 362663.ECP_3429 0 0 478 478
362663.ECP_0014 362663.ECP_4419 149 54 240 334
362663.ECP_0014 362663.ECP_3933 249 54 0 259
362663.ECP_0014 362663.ECP_1000 294 533 748 909
362663.ECP_0014 362663.ECP_4461 282 492 87 637
362663.ECP_0014 362663.ECP_4118 0 0 201 201
362663.ECP_0014 362663.ECP_0741 264 517 78 643
362663.ECP_0014 362663.ECP_1076 267 0 0 267
362663.ECP_0014 362663.ECP_0229 270 0 276 448
362663.ECP_0014 362663.ECP_2436 0 0 209 209
362663.ECP_0014 362663.ECP_2595 332 0 946 962
362663.ECP_0014 362663.ECP_0784 105 0 91 151
362663.ECP_0014 362663.ECP_0484 216 0 93 258
362663.ECP_0014 362663.ECP_1857 0 0 592 592
