protein1 protein2 experimental database textmining combined_score
1034809.SLUG_00050 1034809.SLUG_16470 0 0 645 645
1034809.SLUG_00050 1034809.SLUG_13310 223 657 0 722
1034809.SLUG_00050 1034809.SLUG_21820 0 0 154 153
1034809.SLUG_00050 1034809.SLUG_16250 220 0 0 220
1034809.SLUG_00050 1034809.SLUG_16690 144 0 123 217
1034809.SLUG_00050 1034809.SLUG_00010 0 0 353 353
1034809.SLUG_00050 1034809.SLUG_15440 419 828 665 963
1034809.SLUG_00050 1034809.SLUG_10600 127 0 215 285
1034809.SLUG_00050 1034809.SLUG_01290 157 0 0 156
1034809.SLUG_00050 1034809.SLUG_15450 0 0 466 465
1034809.SLUG_00050 1034809.SLUG_24060 0 0 154 153
1034809.SLUG_00050 1034809.SLUG_01280 157 0 0 156
1034809.SLUG_00060 1034809.SLUG_00050 419 828 665 963
1034809.SLUG_00060 1034809.SLUG_11470 155 0 0 154
1034809.SLUG_00060 1034809.SLUG_11920 186 0 0 186
1034809.SLUG_00060 1034809.SLUG_16200 157 0 152 254
1034809.SLUG_00060 1034809.SLUG_11870 157 0 152 254
1034809.SLUG_00060 1034809.SLUG_23090 0 0 238 237
1034809.SLUG_00060 1034809.SLUG_14030 152 0 0 151
1034809.SLUG_00060 1034809.SLUG_13310 226 0 0 225
1034809.SLUG_00060 1034809.SLUG_14470 0 0 624 624
1034809.SLUG_00060 1034809.SLUG_07730 204 0 0 204
1034809.SLUG_00060 1034809.SLUG_16110 157 0 561 614
1034809.SLUG_00060 1034809.SLUG_10180 152 0 0 151
1034809.SLUG_00060 1034809.SLUG_16660 155 0 0 154
1034809.SLUG_00060 1034809.SLUG_15450 419 828 665 963
1034809.SLUG_00060 1034809.SLUG_01280 157 0 87 197
1034809.SLUG_00060 1034809.SLUG_24370 207 0 0 207
1034809.SLUG_00060 1034809.SLUG_00010 0 0 528 528
1034809.SLUG_00060 1034809.SLUG_07920 170 0 0 169
1034809.SLUG_00060 1034809.SLUG_12730 207 0 0 207
1034809.SLUG_00060 1034809.SLUG_24150 163 0 0 163
1034809.SLUG_00070 1034809.SLUG_10080 151 0 0 150
1034809.SLUG_00080 1034809.SLUG_16330 220 0 0 220
1034809.SLUG_00080 1034809.SLUG_22770 212 0 0 212
1034809.SLUG_00080 1034809.SLUG_00360 170 0 0 169
1034809.SLUG_00080 1034809.SLUG_20230 193 0 0 193
1034809.SLUG_00080 1034809.SLUG_07470 152 0 0 151
1034809.SLUG_00080 1034809.SLUG_11980 228 0 0 227
1034809.SLUG_00080 1034809.SLUG_21940 212 0 649 711
1034809.SLUG_00080 1034809.SLUG_16710 498 0 0 497
1034809.SLUG_00080 1034809.SLUG_20240 247 0 0 246
1034809.SLUG_00080 1034809.SLUG_21110 222 0 0 222
1034809.SLUG_00080 1034809.SLUG_10020 228 0 0 227
1034809.SLUG_00080 1034809.SLUG_05920 194 0 0 194
1034809.SLUG_00080 1034809.SLUG_19310 498 0 0 497
1034809.SLUG_00080 1034809.SLUG_13310 158 0 0 157
1034809.SLUG_00080 1034809.SLUG_00750 222 0 0 222
1034809.SLUG_00080 1034809.SLUG_18240 197 0 0 197
1034809.SLUG_00080 1034809.SLUG_04920 152 0 0 151
1034809.SLUG_00080 1034809.SLUG_04030 197 0 0 197
1034809.SLUG_00080 1034809.SLUG_04550 222 0 0 222
1034809.SLUG_00140 1034809.SLUG_12090 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_16880 259 0 0 258
1034809.SLUG_00140 1034809.SLUG_15630 514 241 0 615
1034809.SLUG_00140 1034809.SLUG_13200 239 0 0 238
1034809.SLUG_00140 1034809.SLUG_07960 996 994 0 999
1034809.SLUG_00140 1034809.SLUG_07800 996 946 0 999
1034809.SLUG_00140 1034809.SLUG_16680 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_15640 514 459 0 725
1034809.SLUG_00140 1034809.SLUG_07920 996 960 0 999
1034809.SLUG_00140 1034809.SLUG_07750 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_24410 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_16700 331 882 0 917
1034809.SLUG_00140 1034809.SLUG_12440 292 615 0 715
1034809.SLUG_00140 1034809.SLUG_16580 996 994 0 999
1034809.SLUG_00140 1034809.SLUG_17790 259 0 0 258
1034809.SLUG_00140 1034809.SLUG_16790 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_22670 982 974 0 999
1034809.SLUG_00140 1034809.SLUG_16270 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_07820 514 241 0 615
1034809.SLUG_00140 1034809.SLUG_07760 996 974 0 999
1034809.SLUG_00140 1034809.SLUG_12740 305 0 0 305
1034809.SLUG_00140 1034809.SLUG_07880 996 941 0 999
1034809.SLUG_00140 1034809.SLUG_07690 996 951 0 999
1034809.SLUG_00140 1034809.SLUG_12840 259 0 0 258
1034809.SLUG_00140 1034809.SLUG_08020 996 293 0 997
1034809.SLUG_00140 1034809.SLUG_16710 228 0 0 227
1034809.SLUG_00140 1034809.SLUG_09490 835 293 0 878
1034809.SLUG_00140 1034809.SLUG_07780 996 0 0 996
1034809.SLUG_00140 1034809.SLUG_22600 894 266 0 918
1034809.SLUG_00140 1034809.SLUG_23890 996 293 0 997
